mes;valor
2015-01;1.48
2015-02;0.81
2015-03;1.17
2015-04;0.97
2015-05;1.37
2015-06;0.63
2015-07;0.65
2015-08;-0.01
2015-09;0.24
2015-10;0.77
2015-11;1.83
2015-12;1.50
2016-01;2.28
2016-02;1.06
2016-03;1.24
2016-04;1.09
2016-05;0.78
2016-06;0.71
2016-07;1.32
2016-08;0.30
2016-09;-0.29
2016-10;-0.05
2016-11;-0.20
2016-12;0.08
2017-01;0.35
2017-02;-0.45
2017-03;0.34
2017-04;0.58
2017-05;-0.35
2017-06;-0.50
2017-07;-0.47
2017-08;-1.07
2017-09;-0.41
2017-10;-0.05
2017-11;-0.38
2017-12;0.54
2018-01;0.74
2018-02;-0.33
2018-03;0.07
2018-04;0.09
2018-05;0.32
2018-06;2.03
2018-07;-0.12
2018-08;-0.34
2018-09;0.10
2018-10;0.59
2018-11;0.39
2018-12;0.44
2019-01;0.90
2019-02;0.78
2019-03;1.37
2019-04;0.63
2019-05;-0.56
2019-06;-0.25
2019-07;0.01
2019-08;-0.35
2019-09;-0.43
2019-10;0.05
2019-11;0.72
2019-12;3.38
2020-01;0.39
2020-02;0.11
2020-03;1.13
2020-04;1.79
2020-05;0.24
2020-06;0.38
2020-07;0.01
2020-08;0.78
2020-09;2.28
2020-10;1.93
2020-11;2.54
2020-12;1.74
2021-01;1.02
2021-02;0.27
2021-03;0.13
2021-04;0.40
2021-05;0.44
2021-06;0.43
2021-07;0.60
2021-08;1.39
2021-09;1.02
2021-10;1.17
2021-11;-0.04
2021-12;0.84
2022-01;1.11
2022-02;1.28
2022-03;2.42
2022-04;2.06
2022-05;0.48
2022-06;0.80
2022-07;1.30
2022-08;0.24
2022-09;-0.51
2022-10;0.72
2022-11;0.53
2022-12;0.66
2023-01;0.59
2023-02;0.16
2023-03;0.05
2023-04;0.71
2023-05;0.16
2023-06;-0.66
2023-07;-0.46
2023-08;-0.85
2023-09;-0.71
2023-10;0.31
2023-11;0.63
2023-12;1.11
2024-01;1.38
2024-02;0.95
2024-03;0.53
2024-04;0.70
2024-05;0.62
2024-06;0.44
2024-07;-1.00
2024-08;-0.44
2024-09;0.50
2024-10;1.06
2024-11;1.55
2024-12;1.18
2025-01;0.96
2025-02;0.70
2025-03;1.17
2025-04;0.82
2025-05;0.17
2025-06;-0.18
2025-07;-0.27
2025-08;-0.46
2025-09;-0.26
2025-10;0.01
2025-11;-0.01
2025-12;0.27
2026-01;0.23
2026-02;0.26
2026-03;1.56
2026-04;1.34
2026-05;1.33
2026-06;-0.24
2026-07;-0.67
