mes;valor
2015-01;1.03
2015-02;2.88
2015-03;0.46
2015-04;0.39
2015-05;0.18
2015-06;-0.31
2015-07;0.55
2015-08;0.30
2015-09;0.18
2015-10;-0.52
2015-11;-0.09
2015-12;-0.27
2016-01;0.22
2016-02;0.58
2016-03;-0.38
2016-04;0.30
2016-05;0.80
2016-06;-0.90
2016-07;-0.67
2016-08;0.95
2016-09;-0.02
2016-10;-0.54
2016-11;-0.08
2016-12;0.25
2017-01;0.09
2017-02;-0.17
2017-03;0.01
2017-04;0.03
2017-05;-0.85
2017-06;0.43
2017-07;-0.64
2017-08;0.22
2017-09;-0.18
2017-10;0.30
2017-11;-0.24
2017-12;0.17
2018-01;0.62
2018-02;0.46
2018-03;0.06
2018-04;-0.20
2018-05;0.31
2018-06;-0.17
2018-07;0.13
2018-08;-0.11
2018-09;0.03
2018-10;0.41
2018-11;-0.52
2018-12;-0.07
2019-01;0.62
2019-02;0.60
2019-03;-0.09
2019-04;0.01
2019-05;-0.19
2019-06;-0.58
2019-07;0.50
2019-08;0.22
2019-09;0.08
2019-10;-0.69
2019-11;-0.39
2019-12;-0.38
2020-01;0.58
2020-02;0.47
2020-03;0.27
2020-04;-0.38
2020-05;0.74
2020-06;0.36
2020-07;0.31
2020-08;-0.24
2020-09;0.01
2020-10;0.61
2020-11;1.05
2020-12;0.17
2021-01;1.31
2021-02;0.55
2021-03;0.68
2021-04;1.01
2021-05;1.15
2021-06;0.51
2021-07;0.54
2021-08;1.79
2021-09;1.58
2021-10;1.77
2021-11;2.36
2021-12;1.85
2022-01;2.19
2022-02;1.68
2022-03;0.47
2022-04;0.44
2022-05;0.73
2022-06;1.30
2022-07;0.11
2022-08;0.36
2022-09;-0.15
2022-10;0.06
2022-11;0.50
2022-12;0.23
2023-01;0.83
2023-02;0.70
2023-03;-0.08
2023-04;0.49
2023-05;0.24
2023-06;-2.76
2023-07;1.65
2023-08;1.71
2023-09;0.22
2023-10;-0.32
2023-11;-0.05
2023-12;-0.21
2024-01;0.36
2024-02;0.45
2024-03;-0.16
2024-04;0.11
2024-05;0.54
2024-06;0.00
2024-07;0.48
2024-08;0.25
2024-09;0.10
2024-10;0.20
2024-11;0.44
2024-12;0.04
2025-01;1.23
2025-02;0.73
2025-03;0.48
2025-04;0.48
2025-05;0.12
2025-06;0.27
2025-07;-0.56
2025-08;-0.44
2025-09;0.48
2025-10;-0.05
2025-11;0.13
2025-12;0.15
2026-01;0.81
2026-02;0.40
2026-03;0.23
2026-04;0.04
2026-05;-0.01
2026-06;0.21
2026-07;-0.36
