mes;valor
2015-01;1.15
2015-02;0.06
2015-03;0.51
2015-04;-0.02
2015-05;0.28
2015-06;-0.54
2015-07;-0.36
2015-08;0.10
2015-09;0.35
2015-10;-0.10
2015-11;-0.43
2015-12;-0.26
2016-01;0.55
2016-02;2.10
2016-03;1.94
2016-04;1.18
2016-05;0.72
2016-06;0.52
2016-07;0.51
2016-08;0.26
2016-09;0.05
2016-10;0.21
2016-11;0.06
2016-12;0.22
2017-01;0.18
2017-02;0.88
2017-03;-0.39
2017-04;0.01
2017-05;0.14
2017-06;0.43
2017-07;0.29
2017-08;0.17
2017-09;0.06
2017-10;0.25
2017-11;-0.06
2017-12;-0.07
2018-01;0.01
2018-02;0.00
2018-03;-0.16
2018-04;-0.04
2018-05;-0.26
2018-06;0.28
2018-07;0.04
2018-08;-0.20
2018-09;0.10
2018-10;0.62
2018-11;-0.17
2018-12;-0.05
2019-01;0.80
2019-02;0.41
2019-03;0.44
2019-04;0.48
2019-05;0.49
2019-06;0.08
2019-07;0.17
2019-08;-0.07
2019-09;0.30
2019-10;-0.11
2019-11;0.51
2019-12;0.00
2020-01;0.79
2020-02;0.64
2020-03;0.10
2020-04;-1.08
2020-05;-0.20
2020-06;1.12
2020-07;0.78
2020-08;0.22
2020-09;0.26
2020-10;0.53
2020-11;-0.03
2020-12;0.29
2021-01;1.26
2021-02;0.27
2021-03;0.67
2021-04;0.77
2021-05;0.64
2021-06;0.90
2021-07;1.41
2021-08;1.01
2021-09;0.63
2021-10;1.86
2021-11;1.29
2021-12;1.26
2022-01;2.45
2022-02;1.72
2022-03;1.86
2022-04;1.02
2022-05;2.76
2022-06;1.31
2022-07;0.65
2022-08;0.57
2022-09;-0.08
2022-10;0.34
2022-11;-0.03
2022-12;-0.04
2023-01;1.41
2023-02;0.77
2023-03;0.33
2023-04;-0.46
2023-05;-0.06
2023-06;0.16
2023-07;-0.14
2023-08;-0.10
2023-09;1.32
2023-10;0.65
2023-11;0.28
2023-12;-0.16
2024-01;1.09
2024-02;0.61
2024-03;-0.20
2024-04;-0.37
2024-05;0.11
2024-06;-0.21
2024-07;0.60
2024-08;0.27
2024-09;0.27
2024-10;0.68
2024-11;0.02
2024-12;0.53
2025-01;0.88
2025-02;0.05
2025-03;0.37
2025-04;-0.24
2025-05;-0.44
2025-06;-0.02
2025-07;0.03
2025-08;0.15
2025-09;0.08
2025-10;-0.49
2025-11;0.15
2025-12;-0.10
2026-01;0.60
2026-02;1.25
2026-03;-0.71
2026-04;0.42
2026-05;0.40
2026-06;0.28
2026-07;-0.06
