mes;valor
2015-01;788.00
2015-02;788.00
2015-03;788.00
2015-04;788.00
2015-05;788.00
2015-06;788.00
2015-07;788.00
2015-08;788.00
2015-09;788.00
2015-10;788.00
2015-11;788.00
2015-12;788.00
2016-01;880.00
2016-02;880.00
2016-03;880.00
2016-04;880.00
2016-05;880.00
2016-06;880.00
2016-07;880.00
2016-08;880.00
2016-09;880.00
2016-10;880.00
2016-11;880.00
2016-12;880.00
2017-01;937.00
2017-02;937.00
2017-03;937.00
2017-04;937.00
2017-05;937.00
2017-06;937.00
2017-07;937.00
2017-08;937.00
2017-09;937.00
2017-10;937.00
2017-11;937.00
2017-12;937.00
2018-01;954.00
2018-02;954.00
2018-03;954.00
2018-04;954.00
2018-05;954.00
2018-06;954.00
2018-07;954.00
2018-08;954.00
2018-09;954.00
2018-10;954.00
2018-11;954.00
2018-12;954.00
2019-01;998.00
2019-02;998.00
2019-03;998.00
2019-04;998.00
2019-05;998.00
2019-06;998.00
2019-07;998.00
2019-08;998.00
2019-09;998.00
2019-10;998.00
2019-11;998.00
2019-12;998.00
2020-01;1039.00
2020-02;1045.00
2020-03;1045.00
2020-04;1045.00
2020-05;1045.00
2020-06;1045.00
2020-07;1045.00
2020-08;1045.00
2020-09;1045.00
2020-10;1045.00
2020-11;1045.00
2020-12;1045.00
2021-01;1100.00
2021-02;1100.00
2021-03;1100.00
2021-04;1100.00
2021-05;1100.00
2021-06;1100.00
2021-07;1100.00
2021-08;1100.00
2021-09;1100.00
2021-10;1100.00
2021-11;1100.00
2021-12;1100.00
2022-01;1212.00
2022-02;1212.00
2022-03;1212.00
2022-04;1212.00
2022-05;1212.00
2022-06;1212.00
2022-07;1212.00
2022-08;1212.00
2022-09;1212.00
2022-10;1212.00
2022-11;1212.00
2022-12;1212.00
2023-01;1302.00
2023-02;1302.00
2023-03;1302.00
2023-04;1302.00
2023-05;1320.00
2023-06;1320.00
2023-07;1320.00
2023-08;1320.00
2023-09;1320.00
2023-10;1320.00
2023-11;1320.00
2023-12;1320.00
2024-01;1412.00
2024-02;1412.00
2024-03;1412.00
2024-04;1412.00
2024-05;1412.00
2024-06;1412.00
2024-07;1412.00
2024-08;1412.00
2024-09;1412.00
2024-10;1412.00
2024-11;1412.00
2024-12;1412.00
2025-01;1518.00
2025-02;1518.00
2025-03;1518.00
2025-04;1518.00
2025-05;1518.00
2025-06;1518.00
2025-07;1518.00
2025-08;1518.00
2025-09;1518.00
2025-10;1518.00
2025-11;1518.00
2025-12;1518.00
2026-01;1621.00
2026-02;1621.00
2026-03;1621.00
2026-04;1621.00
2026-05;1621.00
2026-06;1621.00
2026-07;1621.00
2026-08;1621.00
2026-09;1621.00
